image,title,subtitle,price,cta
,🏠 Logitech MX Master 3S Muis,"Beste ergonomische muis - stil scrollen, 70 dagen batterij","€74,90",Bekijk op Gifteez →
,🏠 Anker PowerConf S500 Speakerphone,Kristalheldere calls - perfect voor meetings,"€133,82",Bekijk op Gifteez →
,🏠 UGREEN USB-C Hub 7-in-1,"Alle poorten die je nodig hebt - HDMI, USB-A, SD-kaart","€39,99",Bekijk op Gifteez →
,🏠 Logitech K380 Bluetooth Toetsenbord,"Compact, stil en werkt met 3 apparaten tegelijk","€43,43",Bekijk op Gifteez →
,🏠 BenQ ScreenBar Monitor Lamp,Geen reflectie op scherm - automatische helderheid,"€84,15",Bekijk op Gifteez →
,🏠 Fellowes Ergonomische Polssteun,Memory foam voor dagelijks comfort - voorkomt RSI,"€18,90",Bekijk op Gifteez →
,🏠 HUANUO Monitorstandaard met Lade,Verhoogt scherm naar ooghoogte - extra opbergruimte,"€29,99",Bekijk op Gifteez →
,🏠 Ergonomische Voetsteun Verstelbaar,Verbetert houding - 6 hoogtes instelbaar,"€31,90",Bekijk op Gifteez →
,🏠 Ember Mok 2 - Temperatuurregeling,Houdt koffie/thee op perfecte temperatuur - premium cadeau,"€169,95",Bekijk op Gifteez →
,🏠 Kunstplant Set voor Bureau,Groen op je bureau zonder onderhoud,"€16,14",Bekijk op Gifteez →
