image_file,title,subtitle,price,cta
1_Logitech-MX-Master.jpg,🏠 Logitech MX Master 3S Muis,"Beste ergonomische muis - stil scrollen, 70 dagen batterij","€74,90",Bekijk op Gifteez →
2_Anker-Power-Conf.jpg,🏠 Anker PowerConf S500 Speakerphone,Kristalheldere calls - perfect voor meetings,"€133,82",Bekijk op Gifteez →
3_UGREEN-USB-C-Hub.jpg,🏠 UGREEN USB-C Hub 7-in-1,"Alle poorten die je nodig hebt - HDMI, USB-A, SD-kaart","€39,99",Bekijk op Gifteez →
4_Logitech_K380.jpg,🏠 Logitech K380 Bluetooth Toetsenbord,"Compact, stil en werkt met 3 apparaten tegelijk","€43,43",Bekijk op Gifteez →
5_BenQ-ScreenBar.jpg,🏠 BenQ ScreenBar Monitor Lamp,Geen reflectie op scherm - automatische helderheid,"€84,15",Bekijk op Gifteez →
6_Fellowes_Polssteun.jpg,🏠 Fellowes Ergonomische Polssteun,Memory foam voor dagelijks comfort - voorkomt RSI,"€18,90",Bekijk op Gifteez →
7_HUANUO-Monitorstandaard.jpg,🏠 HUANUO Monitorstandaard met Lade,Verhoogt scherm naar ooghoogte - extra opbergruimte,"€29,99",Bekijk op Gifteez →
8_Ergonomische-Voet...n.jpg,🏠 Ergonomische Voetsteun Verstelbaar,Verbetert houding - 6 hoogtes instelbaar,"€31,90",Bekijk op Gifteez →
9_Ember-Mok-2.jpg,🏠 Ember Mok 2 - Temperatuurregeling,Houdt koffie/thee op perfecte temperatuur - premium cadeau,"€169,95",Bekijk op Gifteez →
10_Kunstplant-Set.jpg,🏠 Kunstplant Set voor Bureau,Groen op je bureau zonder onderhoud,"€16,14",Bekijk op Gifteez →
