image_file,title,subtitle,price,cta
1_Gritin-Leeslamp.jpg,📚 Gritin LED Leeslamp,Budget favoriet - oplaadbaar met flexibele arm,"€11,95",Bekijk op Gifteez →
2_iZELL-Leeslamp.jpg,📚 iZELL Leeslamp met Klem,3 helderheidsniveaus - oogbescherming,"€19,99",Bekijk op Gifteez →
3_Amber-Leeslamp.jpg,📚 Amber Boeklamp,Warm amberkleurig licht - perfect voor 's nachts,"€16,99",Bekijk op Gifteez →
4_ERWEY-Bedlamp.jpg,📚 ERWEY Zwanenhals Bedlamp,Draaibaar met schakelaar - premium kwaliteit,"€30,99",Bekijk op Gifteez →
5_Gritin-Nekleeslamp.jpg,📚 Gritin Nekleeslamp,Handsfree lezen - 3 kleurtemperaturen,"€19,99",Bekijk op Gifteez →
6_Glocusent-Premium.jpg,📚 Glocusent Premium Leeslamp,80 uur batterij - verstelbare helderheid,"€25,99",Bekijk op Gifteez →
7_DEWENWILS-Cliplamp.jpg,📚 DEWENWILS Boekenklem Lamp,Budget topper - compact en oplaadbaar,"€10,79",Bekijk op Gifteez →
8_BRILONER-Wandlamp.jpg,📚 BRILONER Design Wandlamp,Stijlvol met USB - premium voor slaapkamer,"€44,95",Bekijk op Gifteez →
9_Obeaming-Bedlamp.jpg,📚 Obeaming Nachtkastje Lamp,Met USB-oplader - multifunctioneel,"€41,80",Bekijk op Gifteez →
10_Glocusent-Neklamp.jpg,📚 Glocusent Lichtgewicht Neklamp,Draagbaar - ideaal voor in bed lezen,"€14,99",Bekijk op Gifteez →
